,cod_mod_anexo,ece_imputado,ind_leng_prim_imp,ind_mate_prim_imp
0,02000220,1,0.6666667,0.6666667
1,02000480,1,0.8333334,0.6666667
2,02000550,1,0.6666667,0.6666667
3,02000710,1,1.0,1.0
4,02001130,1,0.5,0.6666667
5,02001210,1,0.70000005,0.3
6,02001390,1,1.0,1.0
7,02001620,1,0.2857143,0.42857143
8,02001880,1,0.25,0.5
9,02001960,1,1.0,1.0
10,02002040,1,1.0,1.0
11,02002120,1,0.71428573,0.71428573
12,02002380,1,0.3,0.3
13,02003370,1,0.4375,0.375
14,02003450,1,0.4375,0.375
15,02003520,1,0.31034482,0.10344828
16,02003600,1,0.31034482,0.10344828
17,02003780,1,0.8333334,0.6666667
18,02004100,1,0.5,0.6666667
19,02004280,1,0.6666667,0.44444445
20,02004440,1,0.5,0.6666667
21,02004510,1,0.9090909,0.6060606
22,02004690,1,0.5,0.6666667
23,02005190,1,1.0,1.0
24,02005270,1,1.0,1.0
25,02005500,1,0.70000005,0.3
26,02005840,1,0.125,0.125
27,02005920,1,0.125,0.125
28,02006180,1,0.125,0.125
29,02006420,1,0.33333334,0.52380955
30,02006590,1,0.5,0.6666667
31,02006670,1,0.33333334,0.52380955
32,02006750,1,1.0,1.0
33,02006830,1,0.6,0.70000005
34,02006910,1,1.0,0.8
35,02007090,1,0.71428573,0.71428573
36,02007250,1,1.0,0.75
37,02007330,1,0.53846157,0.34615386
38,02007740,1,0.2857143,0.3809524
39,02007820,1,0.2,0.2
40,02008160,1,0.8888889,0.88888896
41,02008810,1,0.8,0.2
42,02008990,1,0.5,0.1
43,02009150,1,0.9230769,1.0
44,02009230,1,0.5714286,0.2857143
45,02009310,1,0.6,0.4
46,02009490,1,1.0,1.0
47,02009560,1,0.7368421,0.0
48,02009980,1,0.6666667,0.6666667
49,02010040,1,0.2,0.2
50,02010120,1,0.6,0.8
51,02010460,1,0.8333334,0.3888889
52,02010790,1,0.8571429,0.85714287
53,02010870,1,1.0,0.64705884
54,02010950,1,0.6363636,1.0
55,02011030,1,0.07692308,0.07692308
56,02011110,1,0.875,1.0
57,02011370,1,0.8571429,0.85714287
58,02011450,1,0.54545456,0.27272728
59,02011520,1,0.625,0.375
60,02011600,1,0.625,0.375
61,02011860,1,0.5185185,0.3703704
62,02012100,1,0.71428573,1.0
63,02012360,1,0.70000005,0.3
64,02012510,1,0.625,0.125
65,02012690,1,1.0,1.0
66,02012770,1,0.70000005,0.3
67,02012850,1,0.7777778,0.6666667
68,02013010,1,0.4,0.4
69,02013350,1,0.64705884,0.64705884
70,02013430,1,1.0,1.0
71,02013500,1,0.3,0.3
72,02015580,1,0.5,0.25
73,02015740,1,0.5,0.125
74,02016080,1,0.125,0.25
75,02016240,1,0.26923078,0.15384616
76,02016320,1,0.33333334,0.5
77,02016400,1,0.44444445,0.44444445
78,02016730,1,0.125,0.25
79,02017310,1,0.516129,0.22580644
80,02017490,1,0.4,0.2
81,02017800,1,0.30769232,0.30769232
82,02018140,1,0.083333336,0.083333336
83,02018220,1,0.083333336,0.083333336
84,02018630,1,0.12244898,0.020408163
85,02019050,1,0.5,0.33333334
86,02019390,1,0.58928573,0.39285713
87,02019700,1,0.26923078,0.15384616
88,02019960,1,1.0,1.0
89,02020020,1,0.85714287,0.85714287
90,02020360,1,0.16666667,0.0
91,02020440,1,0.5,0.25
92,02020510,1,0.44444445,0.44444445
93,02020770,1,0.85714287,0.85714287
94,02021760,1,0.71428573,0.8571429
95,02023250,1,0.8,0.8
96,02024080,1,0.8,0.8
97,02024240,1,1.0,1.0
98,02024570,1,0.6603774,0.754717
99,02025560,1,0.8888889,0.8888889
100,02025640,1,1.0,1.0
101,02025720,1,1.0,0.8
102,02025980,1,1.0,0.6666667
103,02026220,1,0.9090909,1.0
104,02026300,1,1.0,1.0
105,02026480,1,0.8,0.8
106,02026550,1,0.75,0.75
107,02026630,1,0.8888889,0.8888889
108,02028530,1,1.0,1.0
109,02028610,1,0.8571429,0.85714287
110,02028870,1,1.0,1.0
111,02029030,1,1.0,1.0
112,02029290,1,0.88235295,0.8235294
113,02029370,1,1.0,1.0
114,02030000,1,0.71428573,1.0
115,02030420,1,0.8333334,0.8333334
116,02030590,1,1.0,0.9583334
117,02031580,1,1.0,1.0
118,02032320,1,1.0,1.0
119,02032570,1,1.0,1.0
120,02033070,1,1.0,1.0
121,02033150,1,0.625,0.625
122,02033720,1,0.8571429,0.71428573
123,02036040,1,1.0,1.0
124,02036460,1,0.8,0.8
125,02036610,1,1.0,1.0
126,02037110,1,1.0,1.0
127,02037520,1,0.5,0.33333334
128,02037600,1,1.0,1.0
129,02037860,1,1.0,1.0
130,02038280,1,0.0,0.0
131,02038690,1,1.0,1.0
132,02039190,1,0.575,0.625
133,02039350,1,1.0,1.0
134,02039430,1,1.0,1.0
135,02039680,1,1.0,1.0
136,02039840,1,1.0,1.0
137,02039920,1,1.0,1.0
138,02040080,1,1.0,1.0
139,02040160,1,0.41463414,0.5121951
140,02040320,1,0.84615386,0.82051283
141,02040400,1,1.0,1.0
142,02040570,1,1.0,1.0
143,02040650,1,1.0,1.0
144,02040730,1,0.85714287,0.85714287
145,02040810,1,1.0,1.0
146,02040990,1,0.5,0.75
147,02041070,1,1.0,1.0
148,02041150,1,0.85714287,0.85714287
149,02042060,1,1.0,1.0
150,02043960,1,0.2,0.4
151,02044460,1,0.8888889,0.8888889
152,02044530,1,0.14285715,0.14285715
153,02044610,1,0.14893617,0.3617021
154,02044790,1,1.0,1.0
155,02044870,1,0.14285715,0.14285715
156,02044950,1,1.0,0.8333334
157,02045030,1,0.5641026,0.47368422
158,02045110,1,1.0,0.6666667
159,02045290,1,1.0,0.6666667
160,02045370,1,1.0,1.0
161,02045450,1,1.0,0.8333334
162,02045780,1,0.625,0.45833334
163,02045860,1,0.625,0.45833334
164,02046020,1,0.8695652,0.9130435
165,02046100,1,0.88235295,0.7647059
166,02046280,1,0.6666667,0.93333334
167,02046440,1,0.0,0.0
168,02046770,1,0.33333334,0.16666667
169,02046850,1,0.71428573,0.5714286
170,02046930,1,1.0,1.0
171,02047010,1,0.0,0.0
172,02047190,1,0.09090909,0.0
173,02047350,1,0.3243243,0.13513513
174,02047430,1,0.85714287,0.71428573
175,02047680,1,0.70000005,0.3
176,02047760,1,0.9090909,0.6060606
177,02047840,1,0.09090909,0.0
178,02047920,1,0.8333334,0.6666667
179,02048180,1,1.0,1.0
180,02048420,1,0.90000004,0.6
