,cod_mod_anexo,ece_imputado,ind_leng_sec_imp,ind_mate_sec_imp
0,02099730,1,0.61702126,0.76086956
1,02108070,1,0.675,0.55
2,02621880,1,0.68421054,0.71929824
3,02622120,1,0.8,0.2
4,02622200,1,0.6956522,0.5217391
5,02622790,1,0.45,0.38333333
6,02735990,1,0.5909091,0.72727275
7,02736310,1,0.8095238,0.92857146
8,02737220,1,1.0,1.0
9,02737300,1,0.7777778,0.8888889
10,02863100,1,0.5,0.70000005
11,02864350,1,0.25,0.0
12,02864430,1,0.6164383,0.79452056
13,03028440,1,1.0,1.0
14,03092520,1,0.29452056,0.34931508
15,03905910,1,0.69902915,0.7184466
16,03907320,1,1.0,0.92857146
17,03911280,1,1.0,0.92857146
18,03953920,1,0.625,0.5625
19,03954000,1,0.8214286,0.82142854
20,04246300,1,0.82978725,0.85106385
21,04525810,1,0.62857145,0.62857145
22,04891460,1,0.8947368,0.7368421
23,05046620,1,0.51428574,0.42857143
24,05122510,1,0.65652174,0.7826087
25,05227710,1,0.375,0.375
26,05228700,1,0.71428573,0.52380955
27,05362190,1,0.7058824,0.3529412
28,05362680,1,0.8947368,0.8947368
29,05367890,1,0.88235295,0.88235295
30,05369870,1,1.0,0.9444444
31,05375890,1,0.8974359,0.974359
32,05376130,1,0.7777778,0.8888889
33,05413260,1,0.0,0.125
34,05416560,1,0.46666667,0.5555556
35,05449650,1,0.62068963,0.6551724
36,05455580,1,1.0,1.0
37,05459540,1,1.0,1.0
38,05471250,1,0.7419355,0.9677419
39,05478280,1,1.0,1.0
40,05494770,1,0.9350649,0.8961039
41,05680710,1,1.0,0.9411765
42,05681210,1,0.6,0.4
43,05687740,1,0.0,0.4
44,05688160,1,0.9230769,0.9230769
45,05741030,1,1.0,1.0
46,05760250,1,0.7948718,0.74358976
47,05765870,1,0.75,0.90000004
48,05766370,1,0.7777778,0.8888889
49,05767100,1,0.6,0.4
50,05781460,1,0.7916666,0.7708333
51,05786820,1,1.0,1.0
52,05788150,1,0.78571427,0.7619048
53,05789710,1,0.5,0.0
54,05789970,1,0.71428573,0.85714287
55,05790370,1,1.0,0.6
56,05791440,1,1.0,1.0
57,05793180,1,0.76,0.92
58,05793260,1,0.9375,0.875
59,05793340,1,0.7659575,0.5531915
60,05796560,1,0.6666667,0.5
61,05799200,1,1.0,1.0
62,05810170,1,0.5882353,0.65882355
63,05815950,1,0.6,0.8
64,05837990,1,0.71428573,0.71428573
65,05845320,1,0.75,1.0
66,05867500,1,0.85714287,0.92857146
67,05870550,1,0.8333333,0.8888889
68,05937490,1,0.5555556,0.8888889
69,05965360,1,0.9230769,0.84615386
70,05999020,1,0.85714287,0.85714287
71,06033160,1,0.8699187,0.95934963
72,06148000,1,0.14285715,0.5714286
73,06148420,1,0.71428573,0.2857143
74,06215320,1,0.4,0.8
75,06219870,1,0.75,0.9375
76,06223730,1,0.9375,0.625
77,06296180,1,0.9130435,0.6956522
78,06353420,1,1.0,1.0
79,06367790,1,0.875,0.875
80,06389080,1,0.64285713,0.85714287
81,06587240,1,1.0,1.0
82,06604150,1,0.78571427,0.9285714
83,06604230,1,0.71428573,0.85714287
84,06664120,1,0.8333333,1.0
85,06667350,1,1.0,1.0
86,06667680,1,1.0,1.0
87,06690440,1,0.78571427,1.0
88,06709270,1,0.6666667,1.0
89,06727250,1,0.5,0.8333334
90,06727580,1,0.0,0.4
91,06796050,1,0.72727275,1.0
92,06806940,1,0.8125,0.84375
93,06808500,1,0.3207547,0.24528302
94,06879210,1,0.71428573,0.71428573
95,06980430,1,0.688,0.728
96,07012760,1,0.85714287,1.0
97,07016980,1,0.6,0.8
98,07084120,1,0.6,0.8
99,07173550,1,0.7826087,0.8695652
100,07202920,1,1.0,1.0
101,07206070,1,0.7777778,0.8888889
102,07209950,1,0.9230769,0.84615386
103,07244010,1,0.8235294,0.9411765
104,07254080,1,1.0,1.0
105,07320570,1,0.9375,0.9375
